GlobalId,Tag,NetVolume
06cDZrVFz0D9SEGIf1vDJn,3,
2BXVb6bp14OvNV6q_Rb2$v,1,
25kY73sz5CV9PvExUVx53W,2,
0Zyr2JvBb9RwKl00ZDOt5c,4,
