Profile	Steel Grade			Structures Types			
		BEAM	BRACE	COLUMN	JOIST	STRUT	Total
I20H2_57837_2017	S345-5	0,66					0,66
I20K2_57837_2017	S345-5			2,096			2,096
PK80X7.0_30245_2003	09G2S		0,452			0,265	0,717
U12P_8240_97	S245-4				0,598		0,598
							
S345-5		0,66	0	2,096	0	0	2,756
S245-4		0	0	0	0,598	0	0,598
09G2S		0	0,452	0	0	0,265	0,717
Total Steel		0,66	0,452	2,096	0,598	0,265	4,072
